serial	tag_date	user_token	tag	from_type	origin	origin_desc	tag_freq	last_at	created_at	updated_at
NULL	2021-12-19	U007296e319184964991c4492dedcf79d	回主選單	3	event	keyword	1	2021-12-18 15:07:03	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U007296e319184964991c4492dedcf79d	更多選單	3	event	keyword	1	2021-12-18 14:02:42	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U00f9a3e04a8a54824bf435589a9babb9	更多選單	3	event	keyword	1	2021-12-18 10:35:30	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U0102e23fc3966c9ab5cf348d10227f32	加入社群	3	event	keyword	1	2021-12-18 10:05:17	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U012e86746b47be9a583fb8a6322a170a	回主選單	3	event	keyword	2	2021-12-18 10:22:03	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U02c31d65fbc000d34c8d9fa62084fecc	回主選單	3	event	keyword	1	2021-12-18 14:44:38	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U02c31d65fbc000d34c8d9fa62084fecc	更多選單	3	event	keyword	1	2021-12-18 14:44:09	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U02ffd184a3ba494c9d99d8f3ab7f928e	回主選單	3	event	keyword	1	2021-12-18 16:45:13	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U02ffd184a3ba494c9d99d8f3ab7f928e	更多選單	3	event	keyword	1	2021-12-18 15:04:08	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U03b32df38af5c5c9425bb43d182457c9	更多選單	3	event	keyword	1	2021-12-18 18:50:26	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U043730dd7f8acfb852f8967d7e29e87e	更多選單	3	event	keyword	1	2021-12-18 11:47:55	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U05fe35a400b1279fa96a24d8621adaeb	回主選單	3	event	keyword	1	2021-12-18 15:36:44	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U05fe35a400b1279fa96a24d8621adaeb	更多選單	3	event	keyword	1	2021-12-18 15:36:35	2021-12-19 02:37:31	2021-12-19 02:37:31
NULL	2021-12-19	U0625b31fe5526701f2935a3344f798cd	回主選單	3	event	keyword	1	2021-12-18 10:23:27	2021-12-19 02:37:31	2021-12-19 02:37:31
