serial	tag_date	user_token	tag	from_type	origin	origin_desc	tag_freq	last_at	created_at	updated_at
NULL	2021-12-19	U0095d83d188337e3349f3b56232f4f05	測試	3	event	keyword	1	2021-12-18 20:35:54	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U01c65d922186dc8abcb308aee3416408	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 01:04:25	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U01c65d922186dc8abcb308aee3416408	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 01:04:25	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U02a76bc56876a6574cde56942da17d38	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 22:18:32	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U02a76bc56876a6574cde56942da17d38	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 22:18:32	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U02b7e14e3e2ffd9a77b74403e4b2a9c4	限定活動	3	event	keyword	1	2021-12-18 19:09:16	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U02b7e14e3e2ffd9a77b74403e4b2a9c4	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 19:09:07	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U02b7e14e3e2ffd9a77b74403e4b2a9c4	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 19:09:07	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U03ec81b553fb1c88309e543eb1711fb6	限定活動	3	event	keyword	2	2021-12-18 22:29:51	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U03ec81b553fb1c88309e543eb1711fb6	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 22:29:46	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U03ec81b553fb1c88309e543eb1711fb6	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 22:29:46	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U04943f7f22dba0c9ae887eb510b2de9c	主選單-產品介紹	3	event	keyword	2	2021-12-18 19:28:47	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U04943f7f22dba0c9ae887eb510b2de9c	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 19:28:43	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U04943f7f22dba0c9ae887eb510b2de9c	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 19:28:43	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U04ba1c1230bf54ce644640658816ff0e	BAR可夢	9	event	channel_link	2	2021-12-18 05:42:30	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U04ba1c1230bf54ce644640658816ff0e	Talisker	9	event	channel_link	2	2021-12-18 05:42:30	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U0592dde8e18a76f848cd517c643cb323	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 22:17:51	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U0592dde8e18a76f848cd517c643cb323	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 22:17:51	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U086171fbe8f767b4341c661bed0fc251	限定活動	3	event	keyword	2	2021-12-18 22:30:02	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U086171fbe8f767b4341c661bed0fc251	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 22:29:54	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U086171fbe8f767b4341c661bed0fc251	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 22:29:54	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U08ff563564b7880d7dbae7fc2b03cbda	測試	3	event	keyword	1	2021-12-18 20:36:18	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U0e3e117db284e0794f2ce4383dde2efd	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 21:10:14	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U0e3e117db284e0794f2ce4383dde2efd	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 21:10:14	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U0f6187fec2798016655756d865d0db03	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 00:57:20	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U0f6187fec2798016655756d865d0db03	對JOHNNIEWALKER有興趣者	9	event	channel_link	1	2021-12-18 00:57:20	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U1025872ca4ba5258d2106dd9ff71b178	限定活動	3	event	keyword	2	2021-12-18 19:29:37	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U1050d435f265f2e86660c0644eff8023	主選單＿品酩會報名	3	event	keyword	1	2021-12-18 05:52:57	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U1050d435f265f2e86660c0644eff8023	對品酩會有興趣者	3	event	keyword	1	2021-12-18 05:52:57	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U1050d435f265f2e86660c0644eff8023	限定活動	3	event	keyword	1	2021-12-18 05:52:33	2021-12-19 02:22:15	2021-12-19 02:22:15
NULL	2021-12-19	U121a908d78efd34bee94614f398fd804	對BarkemonGO有興趣者	9	event	channel_link	1	2021-12-18 19:15:16	2021-12-19 02:22:15	2021-12-19 02:22:15
