serial	tag_date	fpc	domain	datetime	channel	tag	tag_freq	origin	orgin_desc	created_at	updated_at
NULL	2021-12-17	61ce69e9430cddcb01cb19ee38ea843a-_KX8DYMMP7TOYO	NULL	2021-12-16 11:12:27	web	全境酷寒結凍險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	61ce69e9430cddcb01cb19ee38ea843a-_KX8DYMMP7TOYO	NULL	2021-12-16 11:12:22	web	精選事件	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	61ce69e9430cddcb01cb19ee38ea843a-_KX8DYMMP7TOYO	NULL	2021-12-16 11:12:27	web	精選事件-我要投保	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	61ec724a35f652a34edecde1853db972-_KV7ZTS91F25XR	NULL	2021-12-16 21:08:45	web	年終慶加碼	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	61ec724a35f652a34edecde1853db972-_KV7ZTS91F25XR	NULL	2021-12-16 21:08:44	web	普通重機強制險二年期方案	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	61ec724a35f652a34edecde1853db972-_KV7ZTS91F25XR	NULL	2021-12-16 21:08:44	web	機車險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	61ec724a35f652a34edecde1853db972-_KV7ZTS91F25XR	NULL	2021-12-16 21:08:45	web	首頁banner	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 14:17:54	web	保單服務	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 14:17:54	web	保單查詢	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 13:55:14	web	廣告	4	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 16:42:48	web	機車險	3	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 13:55:14	web	每月抽	4	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 16:08:16	web	汽車險	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 16:17:40	web	疫苗險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 16:09:14	web	續保登入	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 16:42:48	web	試算	7	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	672790f7846a208080615ea42bc7c7d8-_KJQDJ0SGKCY5C	NULL	2021-12-16 10:33:10	web	試算單登入	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	69a734eea5579f546bd624af8a8d5c66-_KSE3K8WFZMV39	NULL	2021-12-16 14:48:27	web	新安保戶	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	69a734eea5579f546bd624af8a8d5c66-_KSE3K8WFZMV39	NULL	2021-12-16 14:48:27	web	汽車險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	69a734eea5579f546bd624af8a8d5c66-_KSE3K8WFZMV39	NULL	2021-12-16 14:42:04	web	續保	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	69a734eea5579f546bd624af8a8d5c66-_KSE3K8WFZMV39	NULL	2021-12-16 14:42:04	web	續保登入	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	7cdd94a12eba006c9bdd64ca817f7f5a-_KX8JW50ASPTHX	NULL	2021-12-16 13:58:26	web	住火險	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
